"id","name","partner_id/id","partner_shipping_id/id","partner_invoice_id/id","date_order","order_line/product_id/id","order_line/name","order_line/product_uom_qty","order_line/product_uom/id","order_line/id","order_line/price_unit"
"","","","","","","__export__.product_product_557_8889ac43","[CO0041] Neutron Genetics - Live Resin - Dosido cookies - 0.5g","68.0","product.product_uom_unit","__export__.sale_order_line_816_d09c859f","11.0"
"","","","","","","__export__.product_product_597_e9464166","[CO0047] Neutron Genetics - Live Resin - XJ-13 - 0.5g","68.0","product.product_uom_unit","__export__.sale_order_line_817_c5d59d9a","11.0"
"","","","","","","__export__.product_product_598_5fe3a26e","[CO0048] Neutron Genetics - Live Resin - Super Glue - 0.5g","68.0","product.product_uom_unit","__export__.sale_order_line_818_2bf3fdc7","11.0"
"","","","","","","__export__.product_product_599_92772524","[CO0049] Neutron Genetics - Live Resin - Tahoe OG - 0.5g","68.0","product.product_uom_unit","__export__.sale_order_line_819_034aa4eb","11.0"
"","","","","","","__export__.product_product_556_f1f624d5","[CO0040] Neutron Genetics - Shatter - Purple Jack - 0.5g","147.0","product.product_uom_unit","__export__.sale_order_line_820_74cfbf2b","8.5"
"","","","","","","__export__.product_product_594_040632e9","[CO0044] Neutron Genetics - Shatter - Gelato - 0.5g","147.0","product.product_uom_unit","__export__.sale_order_line_821_9dc6a5f0","8.5"
"","","","","","","__export__.product_product_596_f91c0628","[CO0046] Neutron Genetics - Shatter - White Fire OG - 0.5g","147.0","product.product_uom_unit","__export__.sale_order_line_822_0a9fd133","8.5"
"","","","","","","__export__.product_product_595_457d6dc2","[CO0045] Neutron Genetics - Shatter - Cherry Glue - 0.5g","147.0","product.product_uom_unit","__export__.sale_order_line_823_0da417c2","8.5"
"","","","","","","__export__.product_product_313_c463214f","[ED0005] Paradise Edibles - Gummies - CBD 100mg","110.0","__export__.product_uom_42_118b3b1a","__export__.sale_order_line_824_7d74d512","8.0"
"","","","","","","__export__.product_product_508_dfb19178","[CO0035] Dollar Dose - Cherry AK Sauce - 0.5g   
Extracted from a Rare cherry phenotype of AK-47; Sauce is known for its pleasantly strong flavor/aroma, which come from it's high terpene content. It is also known for its high potency due to its composition. ","30.0","product.product_uom_unit","__export__.sale_order_line_825_0b3b2e44","16.0"
"","","","","","","__export__.product_product_507_0f24d8ec","[CO0037] Dollar Dose - Cherry Pie Sauce - 0.5g   
Extracted from cherry pie; a cross of gradaddy purple & durban poison. Sauce is known for its pleasantly strong flavor/aroma, which come from it's high terpene content. It is also known for its high potency due to its composition. ","30.0","product.product_uom_unit","__export__.sale_order_line_826_80ea0d38","16.0"
"","","","","","","__export__.product_product_551_e7a2fad5","[VA0026] Tokin Vapes Disposable CBD Pen Strawberry Kush","55.0","product.product_uom_unit","__export__.sale_order_line_827_23c753c6","18.0"
"","","","","","","__export__.product_product_500_4569419a","[FL0016] Lemon Tree - Lemon Tree Surfer - Flower - 3.5g
Lemon Tree is a Sativa dominant hybrid which place 2nd during the 2014 Seattle High Times Cannabis Cup for Best US Hybrid. Expect exceptionally dense buds covered inside and out with trichomes. Its comes with a citrusy aroma finishing with diesel overtones that are undeniable.. 20.19% THC 0.05% CBD","128.0","product.product_uom_unit","__export__.sale_order_line_828_7c264bb2","15.0"
"","","","","","","__export__.product_product_501_b129f616","[FL0017] Lemon Tree - Lemon Tree Organics - Flower - 3.5g
Lemon Tree is a Sativa dominant hybrid which place 2nd during the 2014 Seattle High Times Cannabis Cup for Best US Hybrid. Expect exceptionally dense buds covered inside and out with trichomes. Its comes with a citrusy aroma finishing with diesel overtones that are undeniable.. 21.63% THC 0.05% CBD","128.0","product.product_uom_unit","__export__.sale_order_line_829_81a38100","15.0"
"","","","","","","__export__.product_product_604_120547e7","[CO0052] Dollar Dose - Crumble - 0.5g
Extracted from lucky lemon cannabis. Crumble is purged for extended times at low temperatures in a vacuum oven to ensure the preservation of terpenes and create a better-tasting concentrate.","80.0","product.product_uom_unit","__export__.sale_order_line_832_7fb5b76a","7.5"
